ARX ,-4.749889,-5.0486,-4.294807,-2.646402,-1.410815,-0.5234875,0.009371447,0.2536914,0.7477509,1.144004,1.300598,other
ASAH1 ,-2.546069,-1.651802,-0.8652768,-0.1391599,0.6814317,1.766,2.461859,1.390557,0.9271338,0.8162576,0.8397969,AR
ASL ,-1.979761,-1.626961,-1.310213,-0.7520914,-0.3979271,-0.5090405,-0.2432699,0.4560729,1.681883,3.302868,4.72745,AR
ASPA ,-4.436447,-4.636184,-3.114557,-1.821999,-0.825295,-0.04812165,0.8818845,2.139415,3.678812,4.736796,4.505394,AR
ASS1 ,-2.67829,-1.861229,-1.214701,-0.9592062,-1.064386,-1.130443,-0.6075567,0.4626331,1.815073,3.417813,4.62653,AR
ATM ,-1.390548,-1.003501,-0.6120506,-0.3056269,-0.07880279,0.1870868,0.3505924,0.4722958,0.7259028,1.144386,1.730342,other
ATP1A2 ,-4.47056,-3.797595,-2.565872,-1.564915,-0.8163405,-0.0447944,1.014171,1.796571,1.241312,0.8636545,0.692265,AD
ATP1A3 ,-1.938756,-1.514453,-1.251265,-0.9416105,-0.5074696,-0.1166986,-0.001744867,0.1515631,0.513825,0.7166687,0.7064835,AD
ATP2A2 ,-4.550929,-4.790908,-3.598612,-2.0409,-0.9026168,-0.05381227,0.5487791,0.4812628,0.5360754,1.17958,2.0253,AD
ATP2B3 ,-1.816367,-1.136556,-0.5781331,-0.2025925,-0.02990291,0.06834038,0.2596287,0.7192672,1.484872,2.562425,3.962951,other
ATP6V1B1 ,-3.987054,-2.576912,-1.346919,-0.3423099,0.5009408,0.6098793,0.1118592,-0.3873822,-0.4668292,0.1728055,0.7564808,AR
ATP7A ,-2.497009,-1.646539,-1.013033,-0.7594231,-0.8180227,-0.5449331,0.05107847,0.4735492,0.8032016,1.175954,1.422674,other
ATP7B ,-1.997123,-1.56623,-1.059135,-0.7514046,-0.5915649,-0.1636254,0.2027003,0.4119493,0.6757475,0.8753756,1.009857,AR
ATP8B1 ,-0.4897779,-0.7087807,-1.06472,-1.762692,-1.434035,-0.3065019,0.5037387,0.5267907,0.7265523,1.395351,2.114888,other
AUTS2 ,-1.325955,-0.8418932,-0.5116869,-0.4686887,-0.5199952,0.05743605,0.5232464,0.9813765,1.546733,2.13562,2.72201,AD
AVPR2 ,-1.507805,-1.157119,-0.9392116,-1.00541,-1.465854,-2.260148,-1.219189,0.07894509,1.480703,2.99171,4.564285,other
B3GALT6 ,-4.404687,-4.565006,-4.495262,-4.257816,-2.364976,-0.9736592,0.09475759,1.106829,2.28249,3.784828,4.5335,AR
BAG3 ,-1.156342,-0.7251797,-0.4152773,-0.3908423,-0.3752655,0.2800488,0.7254164,0.6969134,0.6583797,1.031242,1.761714,AD
BBS10 ,-1.266861,-0.6973507,-0.1200721,0.3410017,0.6808676,1.495158,2.884022,4.495521,4.561089,4.514616,4.290164,AR
BBS1 ,-0.3099254,-0.2697852,-0.2154848,-0.2101486,-0.2189201,-0.4884848,-0.3200188,0.2390265,0.9642429,2.039414,3.301629,AR
BCHE ,-4.110163,-4.323619,-4.352862,-4.258189,-4.156997,-3.495609,-1.833818,-0.6410775,0.1867851,0.6719722,0.8177987,other
BCKDHA ,-4.601921,-3.478558,-2.187147,-1.373604,-1.009921,-0.7607467,-0.3783845,0.02981014,0.5604965,1.255756,2.026548,AR
BEST1 ,-1.810783,-1.289598,-0.6487096,0.1296264,0.2051089,-0.1180317,0.007838938,0.5849,1.678603,3.10017,4.558886,other
BICD2 ,-1.38226,-0.9958344,-0.6495197,-0.3330532,-0.1081683,0.116737,0.2801051,0.4129254,0.75008,1.218503,1.712029,AD
BMPR2 ,-4.472655,-4.005603,-2.611552,-1.647852,-1.028573,-0.6922385,-0.4002807,0.07900092,0.4294333,0.9511126,1.574529,AD
BRAF ,-2.97703,-2.214941,-1.541805,-1.048712,-0.9128915,-0.7862494,-0.4733919,0.08799652,1.040551,2.236806,3.555935,AD
BRCA1 ,-1.300413,-1.04839,-0.909082,-0.9878601,-0.9181039,-0.2882234,0.3180913,0.6749088,1.121802,1.822452,2.686669,other
BRPF1 ,-4.104629,-3.378948,-1.851628,-0.5959158,0.3779018,0.6589722,0.1148879,0.2229571,0.9963036,1.907238,2.910705,AD
BTK ,-4.254459,-3.850401,-2.559181,-1.606405,-1.093494,-1.168748,-1.508227,-0.8511863,0.2439982,1.372332,2.511099,other
